X,Y,Country,Prov_Name,Pop,WindVel,GHI,SolarRestriction,TravelHours,NightLights,Elevation,Slope,LandCover,GridDistCurrent,GridDistPlan,SubstationDist,RoadDist,HydropowerFID,HydropowerDist,Hydropower,AgriDem
6953.98877,3437.175537,Afghanistan,Kandahar,113.4689331,4.190000057,2057.139893,1,11,0,601,0.97835803,16,168.7340393,168.7340393,324.7741394,62.49087143,664,67.22018433,501.832,312.3196319
6964.160645,3437.175537,Afghanistan,Kandahar,113.4689331,4.190000057,2065.534912,1,15,0,648,3.287903547,16,172.1563721,172.1563721,318.3388062,62.37321472,664,69.31955719,501.832,312.3196319
6974.333008,3437.175537,Afghanistan,Kandahar,209.0878754,4.190000057,2069.915039,1,19,0,746,0.095882408,16,176.1005096,176.1005096,312.102356,61.52777863,664,72.7927475,501.832,575.5077314
6984.504883,3437.175537,Afghanistan,Kandahar,343.3221741,4.190000057,2076.968018,1,21,0,802,7.188511848,16,180.5322723,180.5322723,306.0769653,61.40155029,663,73.19750214,456.471,944.9833722
6994.676758,3437.175537,Afghanistan,Kandahar,343.3221741,4.510000229,2084.149902,1,25,0,836,1.257381439,16,185.416687,185.416687,300.2752991,62.48451233,663,73.42763519,456.471,944.9833722
7004.848633,3437.175537,Afghanistan,Kandahar,343.3221741,4.510000229,2089.625,1,28,0,880,3.369177341,16,190.7189789,190.7189789,294.7106323,64.18998718,663,75.04862976,456.471,944.9833722
7015.020508,3437.175537,Afghanistan,Kandahar,343.3221741,4.510000229,2094.323486,1,27,0,943,0.979880035,16,196.405304,196.405304,289.3965759,67.40422058,663,77.97377777,456.471,944.9833722
7025.192383,3437.175537,Afghanistan,Kandahar,343.3221741,4.510000229,2096.560059,1,23,0,1038,1.272138953,16,202.4433136,202.4433136,284.347229,71.92523193,663,82.06375885,456.471,944.9833722
7035.364258,3437.175537,Afghanistan,Kandahar,343.3221741,4.510000229,2114.552734,1,19,0,1087,0.998033643,16,208.8025055,208.8025055,279.5769043,77.52474213,662,84.92697906,433.322,944.9833722
7045.536133,3437.175537,Afghanistan,Kandahar,343.3221741,4.510000229,2130.775146,1,15,0,1238,2.133785725,16,215.454422,215.454422,275.1001282,83.93681335,662,86.04917908,433.322,944.9833722
7055.708008,3437.175537,Afghanistan,Kandahar,342.8071899,4.510000229,2136.344971,1,11,0,1355,2.033331633,16,222.3728027,222.3728027,270.931427,88.96781921,662,88.33609772,433.322,943.5658945
7065.879883,3437.175537,Afghanistan,Kandahar,343.3221741,4.510000229,2135.61499,1,10,0,1459,3.553940535,16,229.5335693,229.5335693,267.0852966,91.49720001,662,91.70063782,433.322,944.9833722
7076.051758,3437.175537,Afghanistan,Kandahar,352.6659546,4.510000229,2129.704834,1,11,0,1317,1.070475936,16,236.9147339,236.9147339,263.5757751,95.02503204,662,96.02959442,433.322,970.701831
7086.223633,3437.175537,Afghanistan,Kandahar,330.6986084,4.510000229,2129.409912,1,9,0,1427,1.071525574,16,244.4963226,244.4963226,260.4165344,99.47215271,662,101.1992798,433.322,910.2374088
7096.395508,3437.175537,Afghanistan,Kandahar,177.253067,4.510000229,2134.52002,1,8,0,1396,1.321928978,16,252.2602997,252.2602997,257.6204224,104.7215271,662,107.0880051,433.322,487.8834332
7106.567383,3437.175537,Afghanistan,Kandahar,196.2535858,4.510000229,2128.974854,1,9,0,1414,2.67062068,16,255.1993866,255.1993866,255.1993866,110.6469727,659,113.1911011,989.372,540.1817572
7116.739746,3437.175537,Afghanistan,Kandahar,163.7681122,4.510000229,2120.284912,1,10,0,1321,0.316243023,16,253.1641998,253.1641998,253.1641998,113.1881027,660,113.7495956,4824.02,450.7665237
7126.911621,3437.175537,Afghanistan,Kandahar,163.1157837,4.510000229,2116.63501,1,9,0,1340,0.410985678,16,251.5242004,251.5242004,251.5242004,115.266777,660,114.4853973,4824.02,448.9710102
7137.083496,3437.175537,Afghanistan,Kandahar,167.0297089,4.510000229,2116.118896,1,8,0,1305,0.628118098,16,250.2872009,250.2872009,250.2872009,118.187355,660,116.1110535,4824.02,459.7439649
7147.255371,3437.175537,Afghanistan,Kandahar,164.1595001,4.510000229,2115.905029,1,10,0,1347,8.959636688,10,249.4591522,249.4591522,249.4591522,121.8893204,660,118.5899811,4824.02,451.8438064
7157.427246,3437.175537,Afghanistan,Kandahar,164.1595001,4.510000229,2103.670898,1,10,0,1263,4.933461666,16,249.0441589,249.0441589,249.0441589,126.3039932,660,121.8701172,4824.02,451.8438064
7167.599121,3437.175537,Afghanistan,Kandahar,169.6389771,4.510000229,2105.685059,1,10,0,1211,0.942342699,16,249.044281,249.044281,249.044281,131.3595276,660,125.888855,4824.02,466.9258927
7177.770996,3437.175537,Afghanistan,Kandahar,167.8124847,4.510000229,2113.715088,1,8,0,1254,1.247104764,16,249.4595184,249.4595184,249.4595184,136.9849854,660,130.5780182,4824.02,461.8985304
7187.942871,3437.175537,Afghanistan,Kandahar,72.97171021,5.64525032,2112.985107,1,10,0,1333,7.041624546,16,250.287796,247.4830627,250.287796,128.1547241,660,135.8681946,4824.02,200.852313
7198.114746,3437.175537,Afghanistan,Kandahar,44.25683594,5.974615097,2109.334961,1,13,0,1218,5.966943264,16,251.5250397,245.3531342,251.5250397,118.0235901,660,141.6920929,4824.02,121.8155343
7208.286621,3437.175537,Afghanistan,Kandahar,46.15948105,6.255087376,2096.925049,1,15,0,1123,0.483890444,16,250.4902344,243.3580017,253.1652679,107.9001312,660,147.9867249,4824.02,127.0525045
7218.458496,3437.175537,Afghanistan,Kandahar,55.26022339,6.939493179,2093.743164,1,13,0,1153,13.27828598,10,248.4964752,241.3628845,253.2246399,97.78672028,660,154.6946259,4824.02,152.1020085
7228.630371,3437.175537,Afghanistan,Kandahar,50.25539017,4.505111694,2108.60498,1,11,0,873,1.980590582,16,246.9059906,239.3677521,251.2354279,87.68684387,660,161.764389,4824.02,138.3263641
7238.802246,3437.175537,Afghanistan,Kandahar,57.03509903,4.505111694,2110.794922,1,10,0,877,0.231023639,16,245.7266235,233.9667664,249.6451569,77.60579681,658,168.5674438,2238.89,156.9872973
7248.974121,3437.175537,Afghanistan,Kandahar,59.59972763,4.505111694,2114.503174,1,8,0,896,0.954822063,16,244.964325,227.8756561,248.4614716,67.55198669,658,175.4485474,2238.89,164.046356
7259.146484,3437.175537,Afghanistan,Kandahar,44.0737648,4.505111694,2118.459961,1,12,0,923,1.860899687,16,244.6229706,221.7864838,247.6901855,57.53970337,658,182.6371765,2238.89,121.3116368
7269.318359,3437.175537,Afghanistan,Kandahar,31.17412758,4.505111694,2112.694336,1,9,0,910,1.085375428,16,244.7043304,215.8842926,247.3351898,47.59516907,658,190.0984497,2238.89,85.80579533
7279.490234,3437.175537,Afghanistan,Kandahar,16.12454796,4.505111694,2112.620117,1,8,0,915,1.490724325,16,245.2079926,210.3087006,247.3982544,37.77192307,658,197.8014984,2238.89,44.38230576
7289.662109,3437.175537,Afghanistan,Kandahar,3.224909782,4.505111694,2058.005859,0,0,0,0,0,0,246.1313629,205.0863342,247.8790741,28.19701195,658,205.7191925,2238.89,8.876461675
6821.753906,3447.347412,Afghanistan,Kandahar,1.906277776,0,2043.63501,0,0,0,0,0,0,166.6634064,166.6634064,415.6383057,102.0681839,661,113.5796051,167.264,5.24696899
6831.92627,3447.347412,Afghanistan,Kandahar,27.18715477,4.190000057,2033.787598,1,11,0,521,0.398161083,16,164.2455444,164.2455444,407.4703369,95.64398193,661,108.5350189,167.264,74.8317794
6842.098145,3447.347412,Afghanistan,Kandahar,58.32757568,4.190000057,2036.077881,1,11,0,482,2.685366154,16,161.6646271,161.6646271,399.3943481,89.91420746,661,104.2416,167.264,160.5447982
6852.27002,3447.347412,Afghanistan,Kandahar,56.8286438,4.190000057,2021.58313,1,9,0,467,0,16,158.1954498,158.1954498,391.4161072,85.01937103,661,100.7953644,167.264,156.4190358
6862.441895,3447.347412,Afghanistan,Kandahar,21.76566315,4.190000057,2033.928955,1,10,0,467,0,16,155.3160706,155.3160706,383.5051575,81.10183716,661,98.28548431,167.264,59.90929603
6872.61377,3447.347412,Afghanistan,Kandahar,10.29163074,4.190000057,2040.743164,0,10,0,467,0,0,153.0597992,153.0597992,375.5997009,77.25791931,664,91.77868652,501.832,28.32738651
6882.785645,3447.347412,Afghanistan,Kandahar,41.58668137,4.190000057,2041.626953,1,11,0,467,0,16,151.454483,151.454483,367.8056641,74.12233734,664,83.9910202,501.832,114.4660187
6892.95752,3447.347412,Afghanistan,Kandahar,32.85902023,4.190000057,2039.365479,1,11,0,467,0,16,150.5209351,150.5209351,360.130249,70.50465393,664,76.76320648,501.832,90.4434088
6903.129395,3447.347412,Afghanistan,Kandahar,55.81568527,4.190000057,2039.717285,1,11,0,467,0,16,150.2716827,150.2716827,352.5812378,65.05879974,664,70.26823425,501.832,153.6308997
6913.30127,3447.347412,Afghanistan,Kandahar,84.09182739,4.190000057,2040.638184,1,11,0,467,0,16,150.7101135,150.7101135,345.1669312,60.66396332,664,64.7270813,501.832,231.4600821
6923.473145,3447.347412,Afghanistan,Kandahar,107.0238953,4.190000057,2045.521606,1,10,0,467,0.624055743,16,151.8302917,151.8302917,337.8961792,57.53335953,664,60.40281677,501.832,294.5798702
6933.64502,3447.347412,Afghanistan,Kandahar,113.4689331,4.190000057,2042.58374,1,12,0,489,0.487285405,16,153.6172791,153.6172791,330.7784119,54.46509171,664,57.57031631,501.832,312.3196319
6943.816895,3447.347412,Afghanistan,Kandahar,113.4689331,4.190000057,2045.100098,1,9,0,526,0.202535644,16,156.0481873,156.0481873,323.8237915,52.97981644,664,56.45456314,501.832,312.3196319
6953.98877,3447.347412,Afghanistan,Kandahar,113.4689331,4.190000057,2046.266968,1,10,0,541,1.098291278,16,159.0934906,159.0934906,317.0429993,52.32812881,664,57.15618896,501.832,312.3196319
6964.160645,3447.347412,Afghanistan,Kandahar,113.4689331,4.190000057,2051.400146,1,13,0,570,1.086981416,16,162.7187195,162.7187195,310.4474182,52.30831528,664,59.61104965,501.832,312.3196319
6974.333008,3447.347412,Afghanistan,Kandahar,218.3739471,4.190000057,2059.76709,1,16,0,615,6.183430672,16,166.8860474,166.8860474,304.0491638,51.36151886,664,63.61650848,501.832,601.0673487
6984.504883,3447.347412,Afghanistan,Kandahar,343.3221741,4.190000057,2064.485352,1,19,0,663,0.971526921,16,171.556015,171.556015,297.8609009,51.23438263,663,63.03855133,456.471,944.9833722
6994.676758,3447.347412,Afghanistan,Kandahar,343.3221741,4.510000229,2073.639404,1,24,0,718,0.295501232,16,176.688736,176.688736,291.8959961,52.36031723,663,63.30562592,456.471,944.9833722
