Country,X,Y,Pop,GridDistCurrent,GridDistPlan,RoadDist,NightLights,TravelHours,GHI,WindVel,Hydropower,HydropowerDist,SubstationDist,LandCover,Elevation,Slope,SolarRestriction
Swaziland,3544.486328,-3141.875977,8.225884438,45.35552597,41.61158752,2.381513596,0,4,1874,6,5291.879883,33.90668488,34.51055527,8,228,2.136068583,0
Swaziland,3545.486328,-3141.875977,7.956082344,44.93375397,41.26250458,1.782809734,5,4,1874,6,5291.879883,33.02263641,34.05063629,8,237,4.052964211,1
Swaziland,3546.486328,-3141.875977,7.903863907,44.53045273,40.91342163,1.184105873,6,3,1874,6,5291.879883,32.14538193,33.61418533,8,196,1.742229581,0
Swaziland,3547.486328,-3141.875977,53.56471252,44.14611816,40.5643425,0.585401952,9,2,1874,6,5291.879883,31.27549934,33.20212173,14,210,3.061534882,0
Swaziland,3548.486328,-3141.875977,7.215986252,43.78125763,40.2165451,0.013152808,11,2,1874,6,5291.879883,30.41361427,32.47934341,7,195,1.276613355,0
Swaziland,3549.486328,-3141.875977,15.66000652,43.43635559,39.88603592,0.069672614,13,2,1883,6,5291.879883,29.56043053,31.66114426,8,189,1.204654455,0
Swaziland,3550.486328,-3141.875977,22.22173309,43.11189651,39.57804108,0.889476776,10,2,1883,6,5291.879883,28.7167244,30.85366058,8,173,1.236652374,0
Swaziland,3551.486328,-3141.875977,10.08557415,42.80834579,39.29308701,1.855463862,7,3,1883,6,5291.879883,27.88335228,30.05775452,8,158,0.211340547,0
Swaziland,3552.486328,-3141.875977,4.404924393,42.52614594,39.03168106,2.842359543,5,3,1883,6,5291.879883,27.06127357,29.27437019,8,150,0.211340547,0
Swaziland,3553.486328,-3141.875977,4.404924393,42.265728,38.79429626,3.836048841,5,3,1892,6,5291.879883,26.25154495,28.5045433,8,146,0.569035709,1
Swaziland,3554.486328,-3141.875977,4.140629292,42.02749634,38.58137894,4.832342148,0,3,1892,6,5291.879883,25.45534897,27.74940109,11,140,0,0
Swaziland,3555.486328,-3141.875977,1.365528345,41.81182861,38.39333725,5.829905033,0,3,1892,7,5291.879883,24.67399216,27.0101738,0,140,0,0
Swaziland,3556.486328,-3141.875977,0,41.61907959,38.2305336,6.828181267,0,3,1883,7,5291.879883,23.90893364,26.2882061,0,140,0,1
Swaziland,3557.486328,-3141.875977,4.404924393,41.44956589,38.09329605,7.826897144,0,3,1883,7,5291.879883,23.16178322,25.58495522,11,173,1.941989183,1
Swaziland,3558.486328,-3141.875977,4.404924393,41.30357361,37.98189926,8.825903893,0,3,1883,7,5291.879883,22.4343338,24.90201187,8,263,7.837218285,1
Swaziland,3559.486328,-3141.875977,7.515624046,41.18135452,37.89657211,9.825113297,0,4,1883,7,5291.879883,21.72856331,24.24109077,4,714,15.633214,1
Swaziland,3500.486328,-3140.875977,46.25943756,36.38507462,36.38507462,3.366051197,6,4,1918,6,2910.889893,15.90583324,30.48709488,9,695,16.14866447,0
Swaziland,3501.486328,-3140.875977,47.97697449,37.04722595,37.04722595,3.992865562,6,4,1918,6,2910.889893,16.10342598,31.48354721,9,748,24.37769508,0
Swaziland,3502.486328,-3140.875977,61.83509064,37.72426987,37.72426987,4.619680405,6,5,1918,6,2910.889893,16.35986519,32.48021698,8,787,5.332161427,0
Swaziland,3503.486328,-3140.875977,61.26725388,38.4154129,38.4154129,4.859479904,6,5,1935,6,2910.889893,16.67243195,33.47708893,8,725,21.5221653,0
Swaziland,3504.486328,-3140.875977,66.16490173,39.11991119,39.11991119,4.987798214,6,5,1935,6,2910.889893,17.03804016,34.47414017,9,780,19.11588287,0
Swaziland,3505.486328,-3140.875977,58.54220963,39.83705521,39.83705521,5.116116524,6,5,1935,6,2910.889893,17.45335579,35.47135544,9,877,8.321683884,0
Swaziland,3506.486328,-3140.875977,57.48730469,40.56617355,40.56617355,5.244680882,0,5,1935,6,2910.889893,17.91492081,36.4687233,9,666,6.120079041,1
Swaziland,3507.486328,-3140.875977,90.27516174,41.306633,41.306633,5.472967625,0,5,1918,6,2910.889893,18.41926193,37.46623611,10,654,6.048671246,0
Swaziland,3508.486328,-3140.875977,77.62023926,42.05783463,42.05783463,5.710837841,0,5,1918,6,2910.889893,18.96296501,38.46387482,9,713,6.726893425,0
Swaziland,3509.486328,-3140.875977,92.8923645,42.81921387,42.81921387,5.869407177,0,6,1918,6,2910.889893,19.54274559,39.46163177,14,661,22.41522026,0
